Date,Close
2015-03-02,3.21
2015-03-03,3.14
2015-03-04,3.05
2015-03-05,2.98
2015-03-06,2.92
2015-03-07,2.93
2015-03-08,2.92
2015-03-09,2.84
2015-03-10,2.76
2015-03-11,2.75
2015-03-12,2.76
2015-03-13,2.77
2015-03-14,2.75
2015-03-15,2.74
2015-03-16,2.8
2015-03-17,2.84
2015-03-18,2.79
2015-03-19,2.63
2015-03-20,2.65
2015-03-21,2.72
2015-03-22,2.7
2015-03-23,2.68
2015-03-24,2.69
2015-03-25,2.69
2015-03-26,2.7
2015-03-27,2.7
2015-03-28,2.71
2015-03-29,2.72
2015-03-30,2.76
2015-03-31,2.78
2015-04-01,2.67
2015-04-02,2.7
2015-04-03,2.87
2015-04-04,2.58
2015-04-05,2.49
2015-04-06,2.35
2015-04-07,2.28
2015-04-08,2.33
2015-04-09,2.3
2015-04-10,2.34
2015-04-11,2.31
2015-04-12,2.28
2015-04-13,2.26
2015-04-14,2.31
2015-04-15,2.31
2015-04-16,2.28
2015-04-17,2.29
2015-04-18,2.32
2015-04-19,2.31
2015-04-20,2.32
2015-04-21,2.35
2015-04-22,2.37
2015-04-23,2.33
2015-04-24,2.32
2015-04-25,2.35
2015-04-26,2.28
2015-04-27,2.32
2015-04-28,2.28
2015-04-29,2.28
2015-04-30,2.22
2015-05-01,2.28
2015-05-02,2.27
2015-05-03,2.28
2015-05-04,2.25
2015-05-05,2.3
2015-05-06,2.28
2015-05-07,2.33
2015-05-08,2.33
2015-05-09,2.31
2015-05-10,2.29
2015-05-11,2.32
2015-05-12,2.32
2015-05-13,2.31
2015-05-14,2.32
2015-05-15,2.35
2015-05-16,2.47
2015-05-17,2.52
2015-05-18,2.58
2015-05-19,2.62
2015-05-20,2.61
2015-05-21,2.62
2015-05-22,2.58
2015-05-23,2.47
2015-05-24,2.34
2015-05-25,2.4
2015-05-26,2.42
2015-05-27,2.53
2015-05-28,2.47
2015-05-29,2.09
2015-05-30,2.01
2015-05-31,1.98
2015-06-01,1.96
2015-06-02,1.96
2015-06-03,2.05
2015-06-04,1.96
2015-06-05,1.87
2015-06-06,1.79
2015-06-07,1.8
2015-06-08,1.8
2015-06-09,1.79
2015-06-10,1.76
2015-06-11,1.67
2015-06-12,1.62
2015-06-13,1.77
2015-06-14,1.96
2015-06-15,1.93
2015-06-16,1.93
2015-06-17,2.2
2015-06-18,2.13
2015-06-19,2.16
2015-06-20,2.11
2015-06-21,2.09
2015-06-22,1.93
2015-06-23,1.9
2015-06-24,1.9
2015-06-25,1.79
2015-06-26,1.84
2015-06-27,1.8
2015-06-28,1.8
2015-06-29,1.8
2015-06-30,1.7
2015-07-01,1.78
2015-07-02,1.75
2015-07-03,1.66
2015-07-04,1.72
2015-07-05,1.78
2015-07-06,1.85
2015-07-07,1.81
2015-07-08,1.71
2015-07-09,1.77
2015-07-10,1.79
2015-07-11,1.82
2015-07-12,1.88
2015-07-13,1.85
2015-07-14,1.84
2015-07-15,2.01
2015-07-16,1.82
2015-07-17,1.86
2015-07-18,1.89
2015-07-19,1.89
2015-07-20,1.87
2015-07-21,1.81
2015-07-22,1.73
2015-07-23,1.7
2015-07-24,1.72
2015-07-25,1.71
2015-07-26,1.66
2015-07-27,1.67
2015-07-28,1.72
2015-07-29,1.74
2015-07-30,1.83
2015-07-31,1.8
2015-08-01,1.83
2015-08-02,1.86
2015-08-03,1.93
2015-08-04,1.96
2015-08-05,1.87
2015-08-06,1.92
2015-08-07,1.95
2015-08-08,1.97
2015-08-09,1.94
2015-08-10,2.01
2015-08-11,2.02
2015-08-12,2.1
2015-08-13,2.14
2015-08-14,2.21
2015-08-15,2.15
2015-08-16,2.15
2015-08-17,2.18
2015-08-18,2.13
2015-08-19,2.12
2015-08-20,2.19
2015-08-21,2.28
2015-08-22,2.2
2015-08-23,2.2
2015-08-24,2.15
2015-08-25,2.11
2015-08-26,2.02
2015-08-27,2.07
2015-08-28,2
2015-08-29,1.99
2015-08-30,1.99
2015-08-31,1.98
2015-09-01,2.12
2015-09-02,2.14
2015-09-03,2.22
2015-09-04,2.22
2015-09-05,2.34
2015-09-06,2.38
2015-09-07,2.33
2015-09-08,2.36
2015-09-09,2.34
2015-09-10,2.27
2015-09-11,2.23
2015-09-12,2.28
2015-09-13,2.36
2015-09-14,2.39
2015-09-15,2.35
2015-09-16,2.45
2015-09-17,2.36
2015-09-18,2.34
2015-09-19,2.36
2015-09-20,2.54
2015-09-21,2.56
2015-09-22,2.45
2015-09-23,2.53
2015-09-24,2.77
2015-09-25,2.83
2015-09-26,2.92
2015-09-27,3
2015-09-28,3
2015-09-29,2.98
2015-09-30,2.87
2015-10-01,2.77
2015-10-02,2.75
2015-10-03,2.51
2015-10-04,2.28
2015-10-05,2.14
2015-10-06,2.34
2015-10-07,2.39
2015-10-08,2.25
2015-10-09,2.21
2015-10-10,2.03
2015-10-11,1.95
2015-10-12,1.8
2015-10-13,2.09
2015-10-14,2.02
2015-10-15,2.12
2015-10-16,2.07
2015-10-17,2.13
2015-10-18,2.08
2015-10-19,2.2
2015-10-20,2.14
2015-10-21,1.99
2015-10-22,2.07
2015-10-23,2.09
2015-10-24,1.98
2015-10-25,1.93
2015-10-26,1.9
2015-10-27,1.84
2015-10-28,1.86
2015-10-29,1.83
2015-10-30,1.83
2015-10-31,1.9
2015-11-01,1.91
2015-11-02,1.91
2015-11-03,2.01
2015-11-04,1.97
2015-11-05,2.02
2015-11-06,2.03
2015-11-07,2.07
2015-11-08,2.14
2015-11-09,2.18
2015-11-10,2.32
2015-11-11,2.46
2015-11-12,2.37
2015-11-13,2.47
2015-11-14,2.3
2015-11-15,2.26
2015-11-16,2.26
2015-11-17,2.52
2015-11-18,2.72
2015-11-19,2.49
2015-11-20,2.63
2015-11-21,2.8
2015-11-22,2.93
2015-11-23,2.8
2015-11-24,2.79
2015-11-25,2.68
2015-11-26,2.79
2015-11-27,2.78
2015-11-28,2.86
2015-11-29,2.86
2015-11-30,2.85
2015-12-01,2.83
2015-12-02,2.83
2015-12-03,2.76
2015-12-04,2.8
2015-12-05,2.64
2015-12-06,2.74
2015-12-07,2.76
2015-12-08,2.81
2015-12-09,2.8
2015-12-10,2.72
2015-12-11,2.7
2015-12-12,2.76
2015-12-13,2.62
2015-12-14,2.7
2015-12-15,2.62
2015-12-16,3.99
2015-12-17,3.45
2015-12-18,3.66
2015-12-19,3.73
2015-12-20,3.61
2015-12-21,3.55
2015-12-22,3.74
2015-12-23,3.6
2015-12-24,3.6
2015-12-25,3.66
2015-12-26,3.68
2015-12-27,3.65
2015-12-28,3.64
2015-12-29,3.65
2015-12-30,3.59
2015-12-31,3.67
2016-01-01,3.79
2016-01-02,3.79
2016-01-03,3.84
2016-01-04,3.77
2016-01-05,3.87
2016-01-06,4.04
2016-01-07,4.2
2016-01-08,4.18
2016-01-09,4.35
2016-01-10,4.6
2016-01-11,4.57
2016-01-12,4.43
2016-01-13,4.24
2016-01-14,4.16
2016-01-15,4.47
2016-01-16,4.51
2016-01-17,4.46
2016-01-18,4.52
2016-01-19,4.32
2016-01-20,4.4
2016-01-21,4.39
2016-01-22,4.42
2016-01-23,4.75
2016-01-24,5.26
2016-01-25,5.1
2016-01-26,5.45
2016-01-27,5.02
2016-01-28,5.21
2016-01-29,4.88
2016-01-30,4.72
2016-01-31,5.12
2016-02-01,5.13
2016-02-02,5.14
2016-02-03,5.07
2016-02-04,4.96
2016-02-05,5.04
2016-02-06,5.02
2016-02-07,5.1
2016-02-08,5.01
2016-02-09,5.14
2016-02-10,5.09
2016-02-11,5.17
2016-02-12,5.14
2016-02-13,5.51
2016-02-14,5.41
2016-02-15,5.41
2016-02-16,5.22
2016-02-17,5.84
2016-02-18,6.7
2016-02-19,6.98
2016-02-20,6.85
2016-02-21,6.82
2016-02-22,6.86
2016-02-23,6.64
2016-02-24,6.26
2016-02-25,6.3
2016-02-26,6.47
2016-02-27,6.61
2016-02-28,6.68
2016-02-29,6.6
2016-03-01,6.49
2016-03-02,6.58
2016-03-03,6.73
2016-03-04,6.95
2016-03-05,6.78
2016-03-06,6.68
2016-03-07,7.04
2016-03-08,7.62
2016-03-09,7.58
2016-03-10,7.67
2016-03-11,7.43
2016-03-12,7.47
2016-03-13,7.67
2016-03-14,7.59
2016-03-15,7.49
2016-03-16,7.4
2016-03-17,7.35
2016-03-18,7.51
2016-03-19,7.34
2016-03-20,6.84
2016-03-21,6.23
2016-03-22,5.9
2016-03-23,5.94
2016-03-24,5.74
2016-03-25,6.04
2016-03-26,6.02
2016-03-27,6.05
2016-03-28,6.16
2016-03-29,6.17
2016-03-30,6.29
2016-03-31,6.37
2016-04-01,6.55
2016-04-02,6.32
2016-04-03,6.54
2016-04-04,6.59
2016-04-05,6.67
2016-04-06,6.91
2016-04-07,6.95
2016-04-08,6.97
2016-04-09,6.78
2016-04-10,6.96
2016-04-11,6.75
2016-04-12,6.84
2016-04-13,6.5
2016-04-14,6.62
2016-04-15,6.49
2016-04-16,6.75
2016-04-17,6.67
2016-04-18,6.73
2016-04-19,6.77
2016-04-20,6.96
2016-04-21,6.52
2016-04-22,7.01
2016-04-23,7.5
2016-04-24,7.29
2016-04-25,7.11
2016-04-26,7.2
2016-04-27,7.23
2016-04-28,7.09
2016-04-29,6.76
2016-04-30,6.7
2016-05-01,6.56
2016-05-02,6.96
2016-05-03,7
2016-05-04,6.94
2016-05-05,6.3
2016-05-06,6.69
2016-05-07,6.79
2016-05-08,6.97
2016-05-09,7.67
2016-05-10,8.46
2016-05-11,8.71
2016-05-12,8.94
2016-05-13,8.69
2016-05-14,8.8
2016-05-15,8.77
2016-05-16,8.83
2016-05-17,8.93
2016-05-18,8.91
2016-05-19,8.39
2016-05-20,8.53
2016-05-21,8.68
2016-05-22,9.45
2016-05-23,9.56
2016-05-24,10.34
2016-05-25,10.34
2016-05-26,10.68
2016-05-27,10.54
2016-05-28,10.55
2016-05-29,10.86
2016-05-30,10.66
2016-05-31,10.95
2016-06-01,11.51
2016-06-02,11.47
2016-06-03,11.6
2016-06-04,11.58
2016-06-05,12.07
2016-06-06,11.55
2016-06-07,11.59
2016-06-08,11.34
2016-06-09,11.43
2016-06-10,11.43
2016-06-11,11.24
2016-06-12,11.32
2016-06-13,11.49
2016-06-14,11.44
2016-06-15,11.2
2016-06-16,10.76
2016-06-17,10.58
2016-06-18,9.82
2016-06-19,9.88
2016-06-20,9.77
2016-06-21,9.75
2016-06-22,9.91
2016-06-23,10.44
2016-06-24,10.35
2016-06-25,10.52
2016-06-26,10.67
2016-06-27,10.61
2016-06-28,10.37
2016-06-29,12.06
2016-06-30,12.28
2016-07-01,12.24
2016-07-02,13.63
2016-07-03,13.29
2016-07-04,13.56
2016-07-05,13.42
2016-07-06,13.58
2016-07-07,13.49
2016-07-08,13.26
2016-07-09,13.3
2016-07-10,12.97
2016-07-11,13.13
2016-07-12,14
2016-07-13,14.28
2016-07-14,14.32
2016-07-15,14.12
2016-07-16,15.2
2016-07-17,14.46
2016-07-18,14.96
2016-07-19,13.9
2016-07-20,13.03
2016-07-21,13.04
2016-07-22,13.05
2016-07-23,13.22
2016-07-24,13.33
2016-07-25,13.91
2016-07-26,14.28
2016-07-27,14.1
2016-07-28,13.98
2016-07-29,13.65
2016-07-30,13.49
2016-07-31,14.4
2016-08-01,13.82
2016-08-02,14.1
2016-08-03,13.79
2016-08-04,13.7
2016-08-05,13.7
2016-08-06,13.69
2016-08-07,13.71
2016-08-08,14.05
2016-08-09,14.55
2016-08-10,14.64
2016-08-11,14.16
2016-08-12,14.17
2016-08-13,13.27
2016-08-14,13.52
2016-08-15,13.1
2016-08-16,13.1
2016-08-17,12.76
2016-08-18,12.31
2016-08-19,12.79
2016-08-20,12.95
2016-08-21,12.84
2016-08-22,13.11
2016-08-23,13
2016-08-24,13.13
2016-08-25,13.49
2016-08-26,13.41
2016-08-27,13.62
2016-08-28,13.3
2016-08-29,13.62
2016-08-30,10.32
2016-08-31,10.39
2016-09-01,10.1
2016-09-02,10.19
2016-09-03,10.04
2016-09-04,10.18
2016-09-05,10.79
2016-09-06,11.07
2016-09-07,11.26
2016-09-08,11.42
2016-09-09,12.75
2016-09-10,11.2
2016-09-11,11.28
2016-09-12,11.41
2016-09-13,11.04
2016-09-14,10.89
2016-09-15,10.89
2016-09-16,10.98
2016-09-17,11
2016-09-18,11.12
2016-09-19,11.19
2016-09-20,10.93
2016-09-21,10.9
2016-09-22,11.24
2016-09-23,12.03
2016-09-24,12.38
2016-09-25,12.9
2016-09-26,12.28
2016-09-27,12.09
2016-09-28,11.96
2016-09-29,11.77
2016-09-30,11.5
2016-10-01,11.44
2016-10-02,11.93
2016-10-03,12.64
2016-10-04,13.98
2016-10-05,14.38
2016-10-06,14.17
2016-10-07,14.08
2016-10-08,13.4
2016-10-09,13.23
2016-10-10,12.6
2016-10-11,12.48
2016-10-12,12.15
2016-10-13,13.19
2016-10-14,13.02
2016-10-15,13.36
2016-10-16,13.81
2016-10-17,13.89
2016-10-18,14.29
2016-10-19,13.53
2016-10-20,13.92
2016-10-21,13.8
2016-10-22,13.48
2016-10-23,13.55
2016-10-24,13.8
2016-10-25,13.88
2016-10-26,14.16
2016-10-27,14.11
2016-10-28,14.76
2016-10-29,14.12
2016-10-30,13.95
2016-10-31,13.61
2016-11-01,13.71
2016-11-02,13.37
2016-11-03,13.24
2016-11-04,13.12
2016-11-05,13.43
2016-11-06,13.11
2016-11-07,12.83
2016-11-08,12.12
2016-11-09,12.23
2016-11-10,12.76
2016-11-11,13.02
2016-11-12,12.63
2016-11-13,12.34
2016-11-14,12.37
2016-11-15,12.05
2016-11-16,12.17
2016-11-17,12.48
2016-11-18,12.5
2016-11-19,12.43
2016-11-20,12.23
2016-11-21,12.15
2016-11-22,12.67
2016-11-23,13
2016-11-24,13.19
2016-11-25,12.92
2016-11-26,12.86
2016-11-27,12.63
2016-11-28,12.25
2016-11-29,12.55
2016-11-30,12.3
2016-12-01,12.22
2016-12-02,12.26
2016-12-03,12.52
2016-12-04,13.08
2016-12-05,13.12
2016-12-06,13.74
2016-12-07,13.41
2016-12-08,13.3
2016-12-09,12.61
2016-12-10,12.45
2016-12-11,12.74
2016-12-12,12.74
2016-12-13,12.75
2016-12-14,12.71
2016-12-15,13.42
2016-12-16,13.31
2016-12-17,13.34
2016-12-18,13.23
2016-12-19,13.47
2016-12-20,13.7
2016-12-21,13.88
2016-12-22,14.2
2016-12-23,14.22
2016-12-24,14.26
2016-12-25,14.16
2016-12-26,14.07
2016-12-27,13.95
2016-12-28,13.81
2016-12-29,14.1
2016-12-30,14.25
2016-12-31,12.33
2017-01-01,12.01
2017-01-02,11.84
2017-01-03,10.89
2017-01-04,10.99
2017-01-05,10.8
2017-01-06,10.85
2017-01-07,11.12
2017-01-08,11.93
2017-01-09,12.05
2017-01-10,11.71
2017-01-11,11.12
2017-01-12,11.26
2017-01-13,11.09
2017-01-14,11.12
2017-01-15,11.07
2017-01-16,11.25
2017-01-17,11.38
2017-01-18,11.34
2017-01-19,11.4
2017-01-20,11.37
2017-01-21,11.38
2017-01-22,11.55
2017-01-23,11.17
2017-01-24,10.83
2017-01-25,10.89
2017-01-26,10.73
2017-01-27,10.03
2017-01-28,9.91
2017-01-29,10
2017-01-30,10.04
2017-01-31,9.94
2017-02-01,10.16
2017-02-02,9.9
2017-02-03,10.11
2017-02-04,10.13
2017-02-05,10.29
2017-02-06,10.98
2017-02-07,10.95
2017-02-08,10.98
2017-02-09,10.89
2017-02-10,10.54
2017-02-11,10.46
2017-02-12,10.53
2017-02-13,10.55
2017-02-14,10.28
2017-02-15,10.98
2017-02-16,11.55
2017-02-17,12.12
2017-02-18,11.88
2017-02-19,12.28
2017-02-20,11.82
2017-02-21,11.96
2017-02-22,12.14
2017-02-23,12.02
2017-02-24,11.91
2017-02-25,12.18
2017-02-26,12.47
2017-02-27,12.59
2017-02-28,12.65
2017-03-01,12.94
2017-03-02,12.71
2017-03-03,12.41
2017-03-04,12.95
2017-03-05,13.32
2017-03-06,12.87
2017-03-07,13.74
2017-03-08,13.25
2017-03-09,12.45
2017-03-10,11.57
2017-03-11,11.65
2017-03-12,11.6
2017-03-13,11.22
2017-03-14,11.31
2017-03-15,11.68
2017-03-16,11.78
2017-03-17,12.2
2017-03-18,12.19
2017-03-19,11.82
2017-03-20,12.02
2017-03-21,11.72
2017-03-22,11.84
2017-03-23,12.07
2017-03-24,12.42
2017-03-25,12.53
2017-03-26,12.11
2017-03-27,11.9
2017-03-28,11.81
2017-03-29,11.91
2017-03-30,11.76
2017-03-31,12.24
2017-04-01,11.97
2017-04-02,11.7
2017-04-03,11.52
2017-04-04,11.64
2017-04-05,11.36
2017-04-06,11.46
2017-04-07,11.47
2017-04-08,11.43
2017-04-09,11.11
2017-04-10,11.26
2017-04-11,10.91
2017-04-12,10.63
2017-04-13,10.44
2017-04-14,10
2017-04-15,9.81
2017-04-16,10.05
2017-04-17,9.53
2017-04-18,9.55
2017-04-19,9.77
2017-04-20,10.02
2017-04-21,9.61
2017-04-22,9.53
2017-04-23,9.98
2017-04-24,9.82
2017-04-25,10.08
2017-04-26,9.93
2017-04-27,10.09
2017-04-28,10.52
2017-04-29,10.36
2017-04-30,10.11
2017-05-01,9.99
2017-05-02,10.04
2017-05-03,10.09
2017-05-04,9.71
2017-05-05,11.04
2017-05-06,11.11
2017-05-07,10.88
2017-05-08,11.13
2017-05-09,10.97
2017-05-10,10.93
2017-05-11,11.28
2017-05-12,11.59
2017-05-13,11.61
2017-05-14,11.95
2017-05-15,12.13
2017-05-16,11.95
2017-05-17,12.23
2017-05-18,12.45
2017-05-19,12.82
2017-05-20,12.82
2017-05-21,12.82
2017-05-22,12.99
2017-05-23,12.98
2017-05-24,13.1
2017-05-25,13.41
2017-05-26,13.54
2017-05-27,13.36
2017-05-28,13.82
2017-05-29,13.73
2017-05-30,14.4
2017-05-31,14.85
2017-06-01,14.85
2017-06-02,15.67
2017-06-03,14.89
2017-06-04,15.25
2017-06-05,15.73
2017-06-06,15.85
2017-06-07,16.32
2017-06-08,16.25
2017-06-09,16.34
2017-06-10,17.11
2017-06-11,16.69
2017-06-12,16.52
2017-06-13,15.65
2017-06-14,15.8
2017-06-15,15.11
2017-06-16,15.5
2017-06-17,14.97
2017-06-18,15.31
2017-06-19,14.99
2017-06-20,15.16
2017-06-21,15
2017-06-22,15.5
2017-06-23,16.36
2017-06-24,16.61
2017-06-25,16.55
2017-06-26,16.27
2017-06-27,16.56
2017-06-28,16.27
2017-06-29,16.58
2017-06-30,16.87
2017-07-01,16.85
2017-07-02,16.71
2017-07-03,16.5
2017-07-04,16.66
2017-07-05,16.19
2017-07-06,16.05
2017-07-07,18.35
2017-07-08,18.94
2017-07-09,19.42
2017-07-10,18.33
2017-07-11,18.48
2017-07-12,18.79
2017-07-13,18.49
2017-07-14,19.43
2017-07-15,19.56
2017-07-16,19.58
2017-07-17,19.1
2017-07-18,19.06
2017-07-19,19.73
2017-07-20,20.02
2017-07-21,19.7
2017-07-22,19.33
2017-07-23,19.77
2017-07-24,19.98
2017-07-25,20.4
2017-07-26,20.9
2017-07-27,22.29
2017-07-28,23.98
2017-07-29,25.26
2017-07-30,25.05
2017-07-31,25.2
2017-08-01,24.89
2017-08-02,25.17
2017-08-03,28.06
2017-08-04,28.51
2017-08-05,27.84
2017-08-06,27.38
2017-08-07,29.89
2017-08-08,30.1
2017-08-09,32.21
2017-08-10,30.48
2017-08-11,32.72
2017-08-12,32.43
2017-08-13,31.93
2017-08-14,31.21
2017-08-15,31.18
2017-08-16,31.02
2017-08-17,32.61
2017-08-18,32.57
2017-08-19,32.19
2017-08-20,32.59
2017-08-21,30.89
2017-08-22,31.42
2017-08-23,29.02
2017-08-24,28.43
2017-08-25,27.78
2017-08-26,27.35
2017-08-27,26.46
2017-08-28,27.24
2017-08-29,25
2017-08-30,25.3
2017-08-31,26.34
2017-09-01,26.26
2017-09-02,28.18
2017-09-03,27.3
2017-09-04,26.62
2017-09-05,23.66
2017-09-06,25.03
2017-09-07,25.09
2017-09-08,22.79
2017-09-09,19.27
2017-09-10,17.63
2017-09-11,16.85
2017-09-12,17.2
2017-09-13,18.21
2017-09-14,20.22
2017-09-15,20.23
2017-09-16,19.9
2017-09-17,20.68
2017-09-18,21.84
2017-09-19,21.2
2017-09-20,21.03
2017-09-21,19.03
2017-09-22,19.61
2017-09-23,20.81
2017-09-24,21.49
2017-09-25,20.66
2017-09-26,19.11
2017-09-27,19.21
2017-09-28,18.73
2017-09-29,19.38
2017-09-30,20.08
2017-10-01,21.05
2017-10-02,21.34
2017-10-03,21.43
2017-10-04,21.3
2017-10-05,23.71
2017-10-06,21.12
2017-10-07,21.3
2017-10-08,19.46
2017-10-09,19.99
2017-10-10,19.98
2017-10-11,20.48
2017-10-12,19.86
2017-10-13,19.9
2017-10-14,18.83
2017-10-15,19.5
2017-10-16,18.16
2017-10-17,17.94
2017-10-18,16.93
2017-10-19,16.65
2017-10-20,17.9
2017-10-21,17.49
2017-10-22,17.82
2017-10-23,18.46
2017-10-24,18.83
2017-10-25,17.05
2017-10-26,19
2017-10-27,20.57
2017-10-28,20.75
2017-10-29,20.19
2017-10-30,19.74
2017-10-31,20.27
2017-11-01,20.23
2017-11-02,20.38
2017-11-03,19.73
2017-11-04,20.25
2017-11-05,20.77
2017-11-06,19.76
2017-11-07,19.8
2017-11-08,20.85
2017-11-09,21.93
2017-11-10,20.18
2017-11-11,19.25
2017-11-12,23.09
2017-11-13,24.41
2017-11-14,24.51
2017-11-15,24.13
2017-11-16,23.31
2017-11-17,23.26
2017-11-18,22.67
2017-11-19,23.05
2017-11-20,22.96
2017-11-21,22.82
2017-11-22,22.85
2017-11-23,23.13
2017-11-24,23.68
2017-11-25,23.95
2017-11-26,23.95
2017-11-27,23.92
2017-11-28,24.36
2017-11-29,24.71
2017-11-30,24.21
2017-12-01,23.48
2017-12-02,23.53
2017-12-03,23.68
2017-12-04,23.37
2017-12-05,23.5
2017-12-06,22.41
2017-12-07,22.08
2017-12-08,22.01
2017-12-09,22.96
2017-12-10,23.49
2017-12-11,23.38
2017-12-12,22.82
2017-12-13,23.29
2017-12-14,23.25
2017-12-15,26
2017-12-16,25.7
2017-12-17,27.89
2017-12-18,26.37
2017-12-19,25.97
2017-12-20,25.69
2017-12-21,24.89
2017-12-22,25.06
2017-12-23,25.52
2017-12-24,26.36
2017-12-25,26.75
2017-12-26,29.02
2017-12-27,29.09
2017-12-28,28.98
2017-12-29,28.53
2017-12-30,27.24
2017-12-31,27.83
2018-01-01,27.79
2018-01-02,27.85
2018-01-03,27.33
2018-01-04,27.93
2018-01-05,27.49
2018-01-06,27.68
2018-01-07,28.18
2018-01-08,27.97
2018-01-09,28.46
